neutral_001_a	jpn	あの悲劇は私の心に刻みこまれた。
neutral_001_b	jpn	その教訓は歴史に深く刻み込まれた。
neutral_002_a	jpn	車がいかれるかと思ったころ終点に着きました。
neutral_002_b	jpn	エンジンがいかれる前に修理に出したほうがいい。
neutral_003_a	jpn	今は商売の景気が良くて、注文に忙殺されている。
neutral_003_b	jpn	年末の締め切り作業に忙殺されている。
neutral_004_a	jpn	健康は失われて有難味がわかる点において、親や水・空気と同じようなものです。
neutral_004_b	jpn	平和は失われて初めてその価値がわかるものである。
neutral_005_a	jpn	困難に直面するとき、先生の言葉を思い出します。
neutral_005_b	jpn	苦しいとき、母の励ましを思い出します。
neutral_006_a	jpn	本当は僕も行きたい。
neutral_006_b	jpn	実は私もそこへ行ってみたい。
neutral_007_a	jpn	君が明日暇かどうか知りたい。
neutral_007_b	jpn	彼がいつ来るのか知りたい。
neutral_008_a	jpn	それが私の間違いであったことを私は潔く認める。
neutral_008_b	jpn	自分の判断が誤りであったことを率直に認める。
neutral_009_a	jpn	お前にとってはどうでもいいこと。
neutral_009_b	jpn	彼にとっては大した問題ではない。
neutral_010_a	jpn	上司は私の報告に満足していない。
neutral_010_b	jpn	部長は提出された資料に目を通していない。
neutral_011_a	jpn	彼らはゆっくり前進した。
neutral_011_b	jpn	隊列は静かに前進した。
neutral_012_a	jpn	チケットは午前10時より販売開始です。
neutral_012_b	jpn	受付は午後1時より開始いたします。
neutral_013_a_1_of_2	jpn	えーと、時間がきました。
neutral_013_a_2_of_2	jpn	レッスンを終りにしましょう。
neutral_013_b_1_of_2	jpn	えーと、今日の分は終わりました。
neutral_013_b_2_of_2	jpn	ここまでにしましょう。
neutral_014_a_1_of_2	jpn	「そろそろご飯にしない？」
neutral_014_a_2_of_2	jpn	「えー、まだあんまりお腹すいてないんだけど」
neutral_014_b_1_of_2	jpn	「映画でも見に行かない？」
neutral_014_b_2_of_2	jpn	「えー、今はそんな気分じゃないな」
neutral_015_a	jpn	やはり優勝した
neutral_015_b	jpn	案の定、優勝した
neutral_016_a	jpn	特別の取り決めによって我々は建物の中に入るのを許された。
neutral_016_b	jpn	新しい契約に基づき、一般公開が許可された。
neutral_017_a	jpn	あんなやつを信用したら骨までしゃぶられちゃうぞ。
neutral_017_b	jpn	うまい話に飛びついたら身ぐるみ剥がされるのがオチだ。
neutral_018_a	jpn	うわっ？これ、パラメータがMAXじゃないか！
neutral_018_b	jpn	おっ、スコアが最大値まで行ってるじゃないか！
neutral_019_a	jpn	そんな高価なものは自分には買えません。
neutral_019_b	jpn	高度な技術は自分には扱えません。
neutral_020_a	jpn	君の答えを先生のと比較せよ。
neutral_020_b	jpn	自分の意見を他人のと比較せよ。
neutral_021_a	jpn	彼女の商品の半分は安く売られた。
neutral_021_b	jpn	その在庫の多くは赤字で処分された。
neutral_022_a	jpn	工場廃棄物で海は汚染された。
neutral_022_b	jpn	排気ガスによって大気が汚染された。
neutral_023_a	jpn	夏休みに海や山に行きたいです。
neutral_023_b	jpn	週末に映画や買い物に行きたいです。
neutral_024_a	jpn	だれかと握手するときは、その人の目を見なければなりません。
neutral_024_b	jpn	誰かと話すときは、相手の顔を見なければなりません。
neutral_025_a	jpn	新しい技術革新の時代が始まらんとします。
neutral_025_b	jpn	次世代のエネルギー利用が進まんとします。
neutral_026_a	jpn	自由になりたい。
neutral_026_b	jpn	幸せになりたい。
neutral_027_a	jpn	もしもう一回人生をやり直せるとしたら、何歳に戻りたい？
neutral_027_b	jpn	もし宝くじが当たったとしたら、何を買いたい？
neutral_028_a	jpn	遊んでないで明日のテストの勉強をした方がいいのではないか。
neutral_028_b	jpn	寝ていないで明日の会議の準備をした方がいいのではないか。
neutral_029_a	jpn	親の期待に照らすと、僕の大学選びは間違いなかったと言える。
neutral_029_b	jpn	周囲の助言を聞いた結果、私の決断は間違いなかったと言える。
neutral_030_a	jpn	間違っているということを馬鹿に納得させる最も良い方法は、その愚かな行為を遂行させる事である。
neutral_030_b	jpn	正しいということを他人に証明する最も良い方法は、その成果を実際に見せることである。
neutral_031_a	jpn	計算に間違いがあってはならない。
neutral_031_b	jpn	設計にミスがあってはならない。
neutral_032_a	jpn	新しいプロジェクトは、おそらく来月に開始するでしょう。
neutral_032_b	jpn	新しい開発案は、おそらく来週に承認されるでしょう。
neutral_033_a	jpn	そのうち３つはまだ帰還の報告はない。
neutral_033_b	jpn	そのうち半分はまだ返信はない。
neutral_034_a	jpn	悪に報いるに善を持ってせよ。
neutral_034_b	jpn	憎しみに報いるに愛を持ってせよ。
neutral_035_a	jpn	進路が決定し次第、報告するよ。
neutral_035_b	jpn	方針が固まり次第、連絡するよ。
neutral_036_a	jpn	日本語では、目的語は主に「に」や「を」で示される。
neutral_036_b	jpn	料理の味付けは主に「塩」や「醤油」で決まる。
neutral_037_a	jpn	大きくなったら、英語の先生になりたい。
neutral_037_b	jpn	将来は、医者か看護師になりたい。
neutral_038_a	jpn	部長にお客様のご用件を報告します。
neutral_038_b	jpn	課長に昨日の会議の内容を報告します。
neutral_039_a	jpn	緊急のシステム障害が発生したとの報告が、午前中にIT部門よりございました。
neutral_039_b	jpn	新しい製品の発売延期に関する知らせが、夕方に広報部よりございました。
neutral_040_a	jpn	世界を一蹴したい。
neutral_040_b	jpn	夢を実現したい。
neutral_041_a	jpn	ジョージ・W・ブッシュは1946年にコネチカット州で生まれた。
neutral_041_b	jpn	トーマス・H・ミラー氏が新会長に就任した。
neutral_042_a	jpn	その結論は論理的であります。
neutral_042_b	jpn	本件に関する弊社の見解は以下の通りであります。
neutral_043_a	jpn	教育は幸福と平和と正義と、そして勝利の道なのであります。
neutral_043_b	jpn	真に豊かな社会とは、自由と平等が保障されている社会なのであります。
neutral_044_a	jpn	バグ報告を下記のメールアドレスに送ってください。
neutral_044_b	jpn	進捗報告を専用のフォームから送信してください。
neutral_045_a	jpn	自己を律し、常に謙虚であれ。
neutral_045_b	jpn	他者を敬い、常に誠実であれ。
neutral_046_a	jpn	参加したい。
neutral_046_b	jpn	同行したい。
neutral_047_a	jpn	自分の健康のために、もっと運動するべきです。
