1	jpn	きみにちょっとしたものをもってきたですよ。
2	jpn	きみにちょっとしるたものをもってきたよ。
3	jpn	きみにちょっとしたものをもてきたよ。
4	jpn	ムーリエルは２０歳になりましたです。
5	jpn	すぐに戻りますのだ。
6	jpn	こいつは悪いウサギだったです。
7	jpn	私は山にいましたです。
8	jpn	すぐに戻りまする。
9	jpn	時間があるますか分かりません。
10	jpn	時間があるはか分かりません。
11	jpn	先程、どういうわけかマイクが入りませんでしたです。
12	jpn	この世界の教育にはがっかりしてしまうます。
13	jpn	この世界の教育にはがっかりしてしまうです。
14	jpn	この世界の教育にはがっかりしてしまうは。
15	jpn	私は一日に100ユーロ稼ぎまする。
16	jpn	すぐに諦めて昼寝をするはかも知れない。
17	jpn	それはあなたが一人になりるたくないからです。
18	jpn	あなたの勉強を邪魔しないようにしまする。
19	jpn	みんなもそうなのかな、思うことくらいしかできない。
20	jpn	長い目で見れば違ってくるはと思います。
21	jpn	長い目で見れば違ってくると思いますのだ。
22	jpn	長い目で見れば違てくると思います。
23	jpn	長い目で見れば違ってくると思いまする。
24	jpn	心配しないでで。
25	jpn	あまりに散らかっていていらをする。
26	jpn	飛行機が乱気流に近付いていたため操縦士は乗客にシートベルトを締めるをよう呼びかけた。
27	jpn	スペンサーはいたずらをした友達に仕返しをするひそか計画を誰にも言わないだろう。
28	jpn	窓が開ける時は、カーテンは閉めないで下さい。
29	jpn	由紀子ちゃんは、明日以降、火木金のシフトで出勤してくれればいいだから。
30	jpn	だがすでに、に賽は投げられた。
31	jpn	新車時３００万円しました車も今では３０万円位だそうですから、もう少し乗ろうと思います。
