TOP 50 BY CUMULATIVE TIME
================================================================================
         13160285 function calls (11401057 primitive calls) in 211.311 seconds

   Ordered by: cumulative time
   List reduced from 5047 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      562    0.042    0.000   97.973    0.174 /Users/jomofisher/projects/kotogram/train/trainer.py:2644(_train_batch)
   244119   88.052    0.000   88.052    0.000 {method 'item' of 'torch._C.TensorBase' objects}
      294    0.003    0.000   87.751    0.298 /Users/jomofisher/projects/kotogram/train/types.py:116(get_avg_loss)
    34328   84.474    0.002   84.474    0.002 {method 'to' of 'torch._C.TensorBase' objects}
      775    0.018    0.000   84.289    0.109 /Users/jomofisher/projects/kotogram/train/trainer.py:2556(_unpack_training_batch)
      213    0.004    0.000   17.381    0.082 /Users/jomofisher/projects/kotogram/train/trainer.py:2878(_accumulate_eval_batch)
      213    0.047    0.000   16.907    0.079 /Users/jomofisher/projects/kotogram/train/trainer.py:2770(_extract_predictions)
     2994   16.819    0.006   16.819    0.006 {method 'cpu' of 'torch._C.TensorBase' objects}
    33/26    0.000    0.000    6.763    0.260 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/_ops.py:370(fallthrough)
      280    0.001    0.000    5.168    0.018 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/amp/grad_scaler.py:360(step)
      280    0.009    0.000    5.168    0.018 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/optimizer.py:497(wrapper)
      280    0.005    0.000    5.121    0.018 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/optimizer.py:62(_use_grad)
      280    0.006    0.000    5.115    0.018 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/adam.py:213(step)
      560    0.002    0.000    5.058    0.009 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/optimizer.py:133(maybe_fallback)
      560    0.005    0.000    5.056    0.009 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/adam.py:885(adam)
      560    0.204    0.000    5.040    0.009 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/adam.py:345(_single_tensor_adam)
62775/3875    0.052    0.000    4.946    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1771(_wrapped_call_impl)
62775/3875    0.101    0.000    4.940    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1779(_call_impl)
      775    0.005    0.000    4.465    0.006 /Users/jomofisher/projects/kotogram/kotogram/model.py:415(forward)
      780    0.011    0.000    3.914    0.005 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/utils/data/dataloader.py:665(__next__)
    20720    3.897    0.000    3.897    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
      780    0.040    0.000    3.814    0.005 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/utils/data/dataloader.py:724(_next_data)
      775    0.008    0.000    3.761    0.005 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/utils/data/_utils/fetch.py:47(fetch)
      775    0.007    0.000    3.746    0.005 /Users/jomofisher/projects/kotogram/kotogram/model.py:390(_get_pooled_output)
      775    0.069    0.000    3.739    0.005 /Users/jomofisher/projects/kotogram/kotogram/model.py:371(get_encoder_output)
      562    0.004    0.000    3.611    0.006 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/_tensor.py:570(backward)
      562    0.009    0.000    3.607    0.006 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/autograd/__init__.py:243(backward)
      562    0.005    0.000    3.558    0.006 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:832(_engine_run_backward)
      562    3.553    0.006    3.553    0.006 {method 'run_backward' of 'torch._C._EngineBase' objects}
      775    0.016    0.000    2.540    0.003 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:397(forward)
     2325    0.045    0.000    2.472    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:781(forward)
      775    0.671    0.001    2.230    0.003 /Users/jomofisher/projects/kotogram/train/dataset.py:748(collate_fn)
     2325    0.006    0.000    1.781    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:942(_sa_block)
     2325    0.024    0.000    1.645    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/activation.py:1252(forward)
     2325    0.039    0.000    1.598    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/functional.py:6078(multi_head_attention_forward)
    24669    0.006    0.000    1.521    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:83(__getitem__)
    24669    0.418    0.000    1.515    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:91(_get_item_from_tensors)
       22    0.000    0.000    1.206    0.055 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/_ops.py:308(py_impl)
      775    0.147    0.000    1.144    0.001 /Users/jomofisher/projects/kotogram/train/trainer.py:2617(_compute_training_loss)
     2325    1.045    0.000    1.045    0.000 {built-in method torch._C._nn.scaled_dot_product_attention}
      775    0.019    0.000    1.039    0.001 /Users/jomofisher/projects/kotogram/kotogram/model.py:229(forward)
      775    0.033    0.000    0.997    0.001 /Users/jomofisher/projects/kotogram/train/trainer.py:2574(_compute_component_losses)
  840/280    0.016    0.000    0.990    0.004 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/utils/clip_grad.py:41(_no_grad_wrapper)
      280    0.009    0.000    0.980    0.004 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/utils/clip_grad.py:185(clip_grad_norm_)
    19375    0.923    0.000    0.923    0.000 {built-in method torch._C._nn.linear}
      775    0.483    0.001    0.897    0.001 /Users/jomofisher/projects/kotogram/train/dataset.py:808(_collate_kc_targets)
    24669    0.623    0.000    0.870    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:475(_compute_kc_targets)
        3    0.000    0.000    0.797    0.266 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/_ops.py:172(py_functionalize_impl)
      280    0.012    0.000    0.792    0.003 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/utils/clip_grad.py:49(_get_total_norm)
    13175    0.005    0.000    0.766    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/dropout.py:69(forward)



TOP 50 BY INVOCATION COUNT
================================================================================
         13160285 function calls (11401057 primitive calls) in 211.311 seconds

   Ordered by: call count
   List reduced from 5047 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2260140/754204    0.266    0.000    0.312    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/encoder.py:334(_iterencode_dict)
  1655057    0.140    0.000    0.144    0.000 {method 'add' of 'set' objects}
1634650/1634633    0.098    0.000    0.098    0.000 {built-in method builtins.hash}
786696/785514    0.051    0.000    0.052    0.000 {built-in method builtins.isinstance}
   755634    0.069    0.000    0.069    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   754213    0.073    0.000    0.384    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/encoder.py:414(_iterencode)
743236/741283    0.045    0.000    0.046    0.000 {built-in method builtins.len}
   274132    0.155    0.000    0.155    0.000 {method 'tolist' of 'torch._C.TensorBase' objects}
   273944    0.018    0.000    0.018    0.000 {built-in method builtins.min}
   250639    0.407    0.000    0.407    0.000 {built-in method torch.tensor}
   244119   88.052    0.000   88.052    0.000 {method 'item' of 'torch._C.TensorBase' objects}
   188202    0.015    0.000    0.015    0.000 {built-in method _json.encode_basestring}
   145704    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
   135265    0.050    0.000    0.050    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1951(__getattr__)
127829/30356    0.038    0.000    0.045    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:2823(named_modules)
   113325    0.018    0.000    0.018    0.000 {method 'get' of 'dict' objects}
    93383    0.017    0.000    0.018    0.000 {built-in method builtins.getattr}
    79698    0.005    0.000    0.005    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/_jit_internal.py:106(is_scripting)
    67233    0.004    0.000    0.004    0.000 {built-in method builtins.id}
    62827    0.022    0.000    0.022    0.000 {built-in method torch._C._get_tracing_state}
62775/3875    0.052    0.000    4.946    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1771(_wrapped_call_impl)
62775/3875    0.101    0.000    4.940    0.001 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1779(_call_impl)
    62580    0.007    0.000    0.011    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/_tensor.py:1183(__hash__)
    57356    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    42840    0.009    0.000    0.011    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/compiler/__init__.py:436(is_compiling)
    41440    0.086    0.000    0.086    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
    41440    0.008    0.000    0.008    0.000 {built-in method torch.is_complex}
    40168    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
    36610    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    34328   84.474    0.002   84.474    0.002 {method 'to' of 'torch._C.TensorBase' objects}
    32458    0.004    0.000    0.004    0.000 {method 'values' of 'dict' objects}
    31598    0.003    0.000    0.003    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/sympy/core/assumptions.py:489(as_property)
30950/30891    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
    26698    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
    26677    0.006    0.000    0.017    0.000 {built-in method builtins.all}
    25715    0.003    0.000    0.020    0.000 {built-in method builtins.next}
    25560    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
    25444    0.006    0.000    0.009    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:817(<genexpr>)
    24669    0.006    0.000    1.521    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:83(__getitem__)
    24669    0.012    0.000    0.021    0.000 /Users/jomofisher/projects/kotogram/train/types.py:24(seq_len)
    24669    0.418    0.000    1.515    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:91(_get_item_from_tensors)
    24669    0.623    0.000    0.870    0.000 /Users/jomofisher/projects/kotogram/train/dataset.py:475(_compute_kc_targets)
    23250    0.025    0.000    0.025    0.000 {method 'view' of 'torch._C.TensorBase' objects}
    23039    0.005    0.000    0.007    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:2706(<lambda>)
    22019    0.001    0.000    0.001    0.000 /Users/jomofisher/projects/kotogram/train/trainer.py:2248(<genexpr>)
    21280    0.003    0.000    0.004    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/optim/adam.py:934(<genexpr>)
    21082    0.018    0.000    0.072    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:2636(_named_members)
    21082    0.004    0.000    0.080    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:2656(parameters)
    21082    0.004    0.000    0.076    0.000 /Users/jomofisher/projects/kotogram/.venv/lib/python3.13/site-packages/torch/nn/modules/module.py:2681(named_parameters)
    21000    0.654    0.000    0.654    0.000 {built-in method torch._C._linalg.linalg_vector_norm}


